"Date","Price","Open","High","Low","Vol.","Change %"
"12/28/2021","22.9924","23.0750","23.4650","22.9597","","-0.21%"
"12/27/2021","23.0400","22.8550","23.1350","22.6450","","0.44%"
"12/24/2021","22.9400","22.9050","22.9950","22.8750","","0.22%"
"12/23/2021","22.8900","22.7975","22.9650","22.6550","","0.52%"
"12/22/2021","22.7727","22.5200","22.8650","22.4350","","1.26%"
"12/21/2021","22.4900","22.2600","22.7950","22.1800","","1.16%"
"12/20/2021","22.2322","22.4100","22.4850","22.1850","","-0.52%"
"12/17/2021","22.3473","22.4900","22.6950","22.3596","","-0.50%"
"12/16/2021","22.4600","22.0800","22.5450","21.9066","","1.86%"
"12/15/2021","22.0500","21.9457","22.1350","21.4300","","0.57%"
"12/14/2021","21.9257","22.3300","22.3750","21.6900","","-1.72%"
"12/13/2021","22.3102","22.1800","22.4350","22.1399","","0.67%"
"12/10/2021","22.1626","21.9550","22.2400","21.8150","","1.07%"
"12/09/2021","21.9285","22.4100","22.5050","21.8550","","-2.07%"
"12/08/2021","22.3930","22.5021","22.5850","22.3050","","-0.34%"
"12/07/2021","22.4700","22.3769","22.6150","22.2350","","0.53%"
"12/06/2021","22.3520","22.5862","22.6140","22.1259","","-0.70%"
"12/03/2021","22.5093","22.3900","22.5950","22.0350","","0.60%"
"12/02/2021","22.3749","22.3100","22.5250","22.2100","","0.31%"
"12/01/2021","22.3059","22.8200","23.0450","22.1771","","-2.16%"
"11/30/2021","22.7984","22.9150","23.3350","22.6900","","-0.40%"
"11/29/2021","22.8900","23.1450","23.4850","22.7500","","-1.04%"
"11/26/2021","23.1305","23.6000","23.7350","22.9150","","-1.89%"
"11/25/2021","23.5751","23.5500","23.7750","23.5128","","0.19%"
"11/24/2021","23.5295","23.6800","23.7150","23.3930","","-0.52%"
"11/23/2021","23.6519","24.1950","24.3550","23.2650","","-2.13%"
"11/22/2021","24.1664","24.6350","24.9150","24.0950","","-1.72%"
"11/19/2021","24.5882","24.7900","25.0150","24.5500","","-0.77%"
"11/18/2021","24.7800","25.0682","25.1850","24.6800","","-1.08%"
"11/17/2021","25.0500","24.8300","25.2550","24.8000","","1.01%"
"11/16/2021","24.8005","25.0650","25.4250","24.7650","","-0.95%"
"11/15/2021","25.0387","25.3150","25.3900","24.9050","","-0.97%"
"11/12/2021","25.2851","25.2500","25.4050","24.8450","","0.22%"
